NORMALITY:
                                                         W      pval  normal
       retweets_distilbert_False_RidgeClassifier      retweets_glove_False_RandomForestClassifier  -0.0064    0.9 -0.0409   0.028  False
       retweets_distilbert_False_RidgeClassifier             retweets_glove_False_RidgeClassifier  -0.0064    0.9 -0.0409   0.028  False
       retweets_distilbert_False_RidgeClassifier               retweets_glove_False_XGBClassifier  -0.0004    0.9 -0.0349   0.034  False
       retweets_distilbert_False_RidgeClassifier                retweets_glove_True_MLPClassifier   -0.012    0.9 -0.0464  0.0224  False
       retweets_distilbert_False_RidgeClassifier       retweets_glove_True_RandomForestClassifier  -0.0082    0.9 -0.0427  0.0262  False
       retweets_distilbert_False_RidgeClassifier              retweets_glove_True_RidgeClassifier  -0.0082    0.9 -0.0427  0.0262  False
       retweets_distilbert_False_RidgeClassifier                retweets_glove_True_XGBClassifier   0.0013    0.9 -0.0331  0.0358  False
       retweets_distilbert_False_RidgeClassifier             retweets_roberta_False_MLPClassifier     0.01    0.9 -0.0244  0.0445  False
       retweets_distilbert_False_RidgeClassifier    retweets_roberta_False_RandomForestClassifier   0.0211    0.9 -0.0133  0.0556  False
       retweets_distilbert_False_RidgeClassifier           retweets_roberta_False_RidgeClassifier   0.0211    0.9 -0.0133  0.0556  False
       retweets_distilbert_False_RidgeClassifier             retweets_roberta_False_XGBClassifier   0.0325 0.1013  -0.002  0.0669  False
       retweets_distilbert_False_RidgeClassifier              retweets_roberta_True_MLPClassifier  -0.0125    0.9 -0.0469  0.0219  False
       retweets_distilbert_False_RidgeClassifier     retweets_roberta_True_RandomForestClassifier   0.0225 0.8057  -0.012  0.0569  False
       retweets_distilbert_False_RidgeClassifier            retweets_roberta_True_RidgeClassifier   0.0225 0.8057  -0.012  0.0569  False
       retweets_distilbert_False_RidgeClassifier              retweets_roberta_True_XGBClassifier   0.0385 0.0092   0.004  0.0729   True
       retweets_distilbert_False_RidgeClassifier          retweets_structured_False_MLPClassifier  -0.0874  0.001 -0.1218 -0.0529   True
       retweets_distilbert_False_RidgeClassifier retweets_structured_False_RandomForestClassifier  -0.0727  0.001 -0.1071 -0.0383   True
