NORMALITY:
                                                      W      pval  normal
likes_distilbert_False_RandomForestClassifier           likes_roberta_False_RidgeClassifier   0.0029    0.9 -0.0253  0.0312  False
likes_distilbert_False_RandomForestClassifier             likes_roberta_False_XGBClassifier   0.0174    0.9 -0.0109  0.0456  False
likes_distilbert_False_RandomForestClassifier              likes_roberta_True_MLPClassifier   0.0196 0.6999 -0.0087  0.0478  False
likes_distilbert_False_RandomForestClassifier     likes_roberta_True_RandomForestClassifier   0.0051    0.9 -0.0231  0.0334  False
likes_distilbert_False_RandomForestClassifier            likes_roberta_True_RidgeClassifier   0.0051    0.9 -0.0231  0.0334  False
likes_distilbert_False_RandomForestClassifier              likes_roberta_True_XGBClassifier   0.0245 0.2307 -0.0038  0.0527  False
likes_distilbert_False_RandomForestClassifier          likes_structured_False_MLPClassifier  -0.0794  0.001 -0.1076 -0.0511   True
likes_distilbert_False_RandomForestClassifier likes_structured_False_RandomForestClassifier  -0.0551  0.001 -0.0834 -0.0269   True
likes_distilbert_False_RandomForestClassifier        likes_structured_False_RidgeClassifier  -0.0551  0.001 -0.0834 -0.0269   True
likes_distilbert_False_RandomForestClassifier          likes_structured_False_XGBClassifier  -0.0669  0.001 -0.0952 -0.0387   True
       likes_distilbert_False_RidgeClassifier          likes_distilbert_False_XGBClassifier  -0.0056    0.9 -0.0338  0.0227  False
       likes_distilbert_False_RidgeClassifier           likes_distilbert_True_MLPClassifier  -0.0202 0.6398 -0.0485   0.008  False
       likes_distilbert_False_RidgeClassifier  likes_distilbert_True_RandomForestClassifier   0.0013    0.9 -0.0269  0.0296  False
       likes_distilbert_False_RidgeClassifier         likes_distilbert_True_RidgeClassifier   0.0013    0.9 -0.0269  0.0296  False
       likes_distilbert_False_RidgeClassifier           likes_distilbert_True_XGBClassifier  -0.0067    0.9 -0.0349  0.0216  False
       likes_distilbert_False_RidgeClassifier            likes_fasttext_False_MLPClassifier  -0.0631  0.001 -0.0914 -0.0349   True
       likes_distilbert_False_RidgeClassifier   likes_fasttext_False_RandomForestClassifier  -0.0378  0.001  -0.066 -0.0096   True
       likes_distilbert_False_RidgeClassifier          likes_fasttext_False_RidgeClassifier  -0.0378  0.001  -0.066 -0.0096   True
       likes_distilbert_False_RidgeClassifier            likes_fasttext_False_XGBClassifier  -0.0331 0.0037 -0.0614 -0.0049   True
       likes_distilbert_False_RidgeClassifier             likes_fasttext_True_MLPClassifier  -0.0554  0.001 -0.0836 -0.0271   True
       likes_distilbert_False_RidgeClassifier    likes_fasttext_True_RandomForestClassifier  -0.0365  0.001 -0.0647 -0.0082   True
       likes_distilbert_False_RidgeClassifier           likes_fasttext_True_RidgeClassifier  -0.0365  0.001 -0.0647 -0.0082   True
       likes_distilbert_False_RidgeClassifier             likes_fasttext_True_XGBClassifier  -0.0345 0.0017 -0.0627 -0.0062   True
       likes_distilbert_False_RidgeClassifier               likes_glove_False_MLPClassifier  -0.0416  0.001 -0.0698 -0.0133   True
       likes_distilbert_False_RidgeClassifier      likes_glove_False_RandomForestClassifier  -0.0107    0.9 -0.0389  0.0176  False
       likes_distilbert_False_RidgeClassifier             likes_glove_False_RidgeClassifier  -0.0107    0.9 -0.0389  0.0176  False
       likes_distilbert_False_RidgeClassifier               likes_glove_False_XGBClassifier  -0.0227 0.4017 -0.0509  0.0056  False
       likes_distilbert_False_RidgeClassifier                likes_glove_True_MLPClassifier  -0.0289 0.0369 -0.0572 -0.0007   True
       likes_distilbert_False_RidgeClassifier       likes_glove_True_RandomForestClassifier  -0.0087    0.9 -0.0369  0.0196  False
       likes_distilbert_False_RidgeClassifier              likes_glove_True_RidgeClassifier  -0.0087    0.9 -0.0369  0.0196  False
       likes_distilbert_False_RidgeClassifier                likes_glove_True_XGBClassifier  -0.0169    0.9 -0.0451  0.0114  False
       likes_distilbert_False_RidgeClassifier             likes_roberta_False_MLPClassifier  -0.0104    0.9 -0.0387  0.0178  False
       likes_distilbert_False_RidgeClassifier    likes_roberta_False_RandomForestClassifier   0.0029    0.9 -0.0253  0.0312  False
       likes_distilbert_False_RidgeClassifier           likes_roberta_False_RidgeClassifier   0.0029    0.9 -0.0253  0.0312  False
       likes_distilbert_False_RidgeClassifier             likes_roberta_False_XGBClassifier   0.0174    0.9 -0.0109  0.0456  False
       likes_distilbert_False_RidgeClassifier              likes_roberta_True_MLPClassifier   0.0196 0.6999 -0.0087  0.0478  False
       likes_distilbert_False_RidgeClassifier     likes_roberta_True_RandomForestClassifier   0.0051    0.9 -0.0231  0.0334  False
       likes_distilbert_False_RidgeClassifier            likes_roberta_True_RidgeClassifier   0.0051    0.9 -0.0231  0.0334  False
       likes_distilbert_False_RidgeClassifier              likes_roberta_True_XGBClassifier   0.0245 0.2307 -0.0038  0.0527  False
       likes_distilbert_False_RidgeClassifier          likes_structured_False_MLPClassifier  -0.0794  0.001 -0.1076 -0.0511   True
       likes_distilbert_False_RidgeClassifier likes_structured_False_RandomForestClassifier  -0.0551  0.001 -0.0834 -0.0269   True
       likes_distilbert_False_RidgeClassifier        likes_structured_False_RidgeClassifier  -0.0551  0.001 -0.0834 -0.0269   True
       likes_distilbert_False_RidgeClassifier          likes_structured_False_XGBClassifier  -0.0669  0.001 -0.0952 -0.0387   True
         likes_distilbert_False_XGBClassifier           likes_distilbert_True_MLPClassifier  -0.0147    0.9 -0.0429  0.0136  False
         likes_distilbert_False_XGBClassifier  likes_distilbert_True_RandomForestClassifier   0.0069    0.9 -0.0214  0.0351  False
         likes_distilbert_False_XGBClassifier         likes_distilbert_True_RidgeClassifier   0.0069    0.9 -0.0214  0.0351  False
         likes_distilbert_False_XGBClassifier           likes_distilbert_True_XGBClassifier  -0.0011    0.9 -0.0294  0.0271  False
         likes_distilbert_False_XGBClassifier            likes_fasttext_False_MLPClassifier  -0.0576  0.001 -0.0858 -0.0293   True
         likes_distilbert_False_XGBClassifier   likes_fasttext_False_RandomForestClassifier  -0.0322 0.0063 -0.0605  -0.004   True
         likes_distilbert_False_XGBClassifier          likes_fasttext_False_RidgeClassifier  -0.0322 0.0063 -0.0605  -0.004   True
         likes_distilbert_False_XGBClassifier            likes_fasttext_False_XGBClassifier  -0.0276 0.0685 -0.0558  0.0007  False
         likes_distilbert_False_XGBClassifier             likes_fasttext_True_MLPClassifier  -0.0498  0.001 -0.0781 -0.0216   True
         likes_distilbert_False_XGBClassifier    likes_fasttext_True_RandomForestClassifier  -0.0309 0.0131 -0.0592 -0.0027   True
         likes_distilbert_False_XGBClassifier           likes_fasttext_True_RidgeClassifier  -0.0309 0.0131 -0.0592 -0.0027   True
         likes_distilbert_False_XGBClassifier             likes_fasttext_True_XGBClassifier  -0.0289 0.0367 -0.0572 -0.0007   True
         likes_distilbert_False_XGBClassifier               likes_glove_False_MLPClassifier   -0.036  0.001 -0.0643 -0.0078   True
         likes_distilbert_False_XGBClassifier      likes_glove_False_RandomForestClassifier  -0.0051    0.9 -0.0334  0.0231  False
         likes_distilbert_False_XGBClassifier             likes_glove_False_RidgeClassifier  -0.0051    0.9 -0.0334  0.0231  False
         likes_distilbert_False_XGBClassifier               likes_glove_False_XGBClassifier  -0.0171    0.9 -0.0454  0.0111  False
         likes_distilbert_False_XGBClassifier                likes_glove_True_MLPClassifier  -0.0233 0.3281 -0.0516  0.0049  False
         likes_distilbert_False_XGBClassifier       likes_glove_True_RandomForestClassifier  -0.0031    0.9 -0.0314  0.0251  False
         likes_distilbert_False_XGBClassifier              likes_glove_True_RidgeClassifier  -0.0031    0.9 -0.0314  0.0251  False
         likes_distilbert_False_XGBClassifier                likes_glove_True_XGBClassifier  -0.0113    0.9 -0.0396  0.0169  False
         likes_distilbert_False_XGBClassifier             likes_roberta_False_MLPClassifier  -0.0049    0.9 -0.0331  0.0234  False
         likes_distilbert_False_XGBClassifier    likes_roberta_False_RandomForestClassifier   0.0085    0.9 -0.0198  0.0367  False
         likes_distilbert_False_XGBClassifier           likes_roberta_False_RidgeClassifier   0.0085    0.9 -0.0198  0.0367  False
