NORMALITY:
                                                        W      pval  normal
replies_distilbert_False_RandomForestClassifier            replies_roberta_True_RidgeClassifier  -0.0269 0.1751 -0.0571  0.0032  False
replies_distilbert_False_RandomForestClassifier              replies_roberta_True_XGBClassifier  -0.0196 0.8131 -0.0497  0.0106  False
replies_distilbert_False_RandomForestClassifier          replies_structured_False_MLPClassifier  -0.0651  0.001 -0.0953  -0.035   True
replies_distilbert_False_RandomForestClassifier replies_structured_False_RandomForestClassifier   -0.056  0.001 -0.0862 -0.0259   True
replies_distilbert_False_RandomForestClassifier        replies_structured_False_RidgeClassifier   -0.056  0.001 -0.0862 -0.0259   True
replies_distilbert_False_RandomForestClassifier          replies_structured_False_XGBClassifier  -0.0623  0.001 -0.0924 -0.0321   True
       replies_distilbert_False_RidgeClassifier          replies_distilbert_False_XGBClassifier  -0.0027    0.9 -0.0328  0.0275  False
       replies_distilbert_False_RidgeClassifier           replies_distilbert_True_MLPClassifier  -0.0325  0.017 -0.0626 -0.0023   True
       replies_distilbert_False_RidgeClassifier  replies_distilbert_True_RandomForestClassifier   -0.002    0.9 -0.0321  0.0281  False
       replies_distilbert_False_RidgeClassifier         replies_distilbert_True_RidgeClassifier   -0.002    0.9 -0.0321  0.0281  False
       replies_distilbert_False_RidgeClassifier           replies_distilbert_True_XGBClassifier  -0.0071    0.9 -0.0372   0.023  False
       replies_distilbert_False_RidgeClassifier            replies_fasttext_False_MLPClassifier  -0.0209 0.6982  -0.051  0.0092  False
       replies_distilbert_False_RidgeClassifier   replies_fasttext_False_RandomForestClassifier  -0.0182    0.9 -0.0484  0.0119  False
       replies_distilbert_False_RidgeClassifier          replies_fasttext_False_RidgeClassifier  -0.0182    0.9 -0.0484  0.0119  False
       replies_distilbert_False_RidgeClassifier            replies_fasttext_False_XGBClassifier  -0.0278 0.1277 -0.0579  0.0023  False
       replies_distilbert_False_RidgeClassifier             replies_fasttext_True_MLPClassifier   -0.024 0.4203 -0.0541  0.0061  False
       replies_distilbert_False_RidgeClassifier    replies_fasttext_True_RandomForestClassifier  -0.0147    0.9 -0.0448  0.0155  False
       replies_distilbert_False_RidgeClassifier           replies_fasttext_True_RidgeClassifier  -0.0147    0.9 -0.0448  0.0155  False
       replies_distilbert_False_RidgeClassifier             replies_fasttext_True_XGBClassifier  -0.0211  0.679 -0.0513   0.009  False
       replies_distilbert_False_RidgeClassifier               replies_glove_False_MLPClassifier  -0.0433  0.001 -0.0735 -0.0132   True
       replies_distilbert_False_RidgeClassifier      replies_glove_False_RandomForestClassifier   -0.018    0.9 -0.0481  0.0121  False
